mode: set
servgate/pkg/proxy/access_log.go:43.58,45.47 2 0
servgate/pkg/proxy/access_log.go:45.47,47.3 1 0
servgate/pkg/proxy/access_log.go:49.2,50.16 2 0
servgate/pkg/proxy/access_log.go:50.16,52.3 1 0
servgate/pkg/proxy/access_log.go:54.2,57.8 1 0
servgate/pkg/proxy/access_log.go:61.45,63.16 2 0
servgate/pkg/proxy/access_log.go:63.16,65.3 1 0
servgate/pkg/proxy/access_log.go:67.2,72.19 5 0
servgate/pkg/proxy/access_log.go:76.39,80.42 3 0
servgate/pkg/proxy/access_log.go:80.42,82.3 1 0
servgate/pkg/proxy/access_log.go:83.2,83.24 1 0
servgate/pkg/proxy/access_log.go:99.111,105.2 1 1
servgate/pkg/proxy/access_log.go:107.64,108.21 1 1
servgate/pkg/proxy/access_log.go:108.21,112.3 3 1
servgate/pkg/proxy/access_log.go:115.71,118.20 3 1
servgate/pkg/proxy/access_log.go:118.20,120.3 1 0
servgate/pkg/proxy/access_log.go:121.2,121.15 1 1
servgate/pkg/proxy/access_log.go:125.56,127.2 1 0
servgate/pkg/proxy/access_log.go:130.72,132.47 2 0
servgate/pkg/proxy/access_log.go:132.47,134.3 1 0
servgate/pkg/proxy/access_log.go:135.2,135.10 1 0
servgate/pkg/proxy/access_log.go:139.50,140.51 1 0
servgate/pkg/proxy/access_log.go:140.51,142.3 1 0
servgate/pkg/proxy/access_log.go:146.145,164.2 2 0
servgate/pkg/proxy/access_log.go:166.46,167.55 1 0
servgate/pkg/proxy/access_log.go:167.55,169.48 1 0
servgate/pkg/proxy/access_log.go:169.48,171.4 1 0
servgate/pkg/proxy/access_log.go:172.3,172.32 1 0
servgate/pkg/proxy/access_log.go:174.2,175.16 2 0
servgate/pkg/proxy/access_log.go:175.16,177.3 1 0
servgate/pkg/proxy/access_log.go:178.2,178.13 1 0
servgate/pkg/proxy/ai.go:12.40,14.52 2 1
servgate/pkg/proxy/ai.go:14.52,16.3 1 0
servgate/pkg/proxy/ai.go:19.2,19.47 1 1
servgate/pkg/proxy/ai.go:19.47,21.3 1 1
servgate/pkg/proxy/ai.go:24.2,24.79 1 0
servgate/pkg/proxy/ai.go:24.79,25.76 1 0
servgate/pkg/proxy/ai.go:25.76,26.54 1 0
servgate/pkg/proxy/ai.go:26.54,28.5 1 0
servgate/pkg/proxy/ai.go:32.2,32.11 1 0
servgate/pkg/proxy/ai.go:43.44,44.44 1 1
servgate/pkg/proxy/ai.go:44.44,45.34 1 1
servgate/pkg/proxy/ai.go:45.34,47.4 1 1
servgate/pkg/proxy/ai.go:49.2,49.14 1 1
servgate/pkg/proxy/ai.go:60.36,61.48 1 1
servgate/pkg/proxy/ai.go:61.48,63.3 1 1
servgate/pkg/proxy/ai.go:64.2,64.13 1 1
servgate/pkg/proxy/ai.go:81.57,82.20 1 1
servgate/pkg/proxy/ai.go:82.20,84.3 1 0
servgate/pkg/proxy/ai.go:85.2,87.3 1 1
servgate/pkg/proxy/ai.go:90.47,93.26 3 1
servgate/pkg/proxy/ai.go:93.26,95.17 2 1
servgate/pkg/proxy/ai.go:95.17,97.4 1 1
servgate/pkg/proxy/ai.go:99.2,99.11 1 1
servgate/pkg/proxy/ai.go:102.50,104.23 2 1
servgate/pkg/proxy/ai.go:104.23,106.3 1 1
servgate/pkg/proxy/ai.go:107.2,107.23 1 1
servgate/pkg/proxy/ai.go:110.80,111.28 1 1
servgate/pkg/proxy/ai.go:111.28,113.3 1 0
servgate/pkg/proxy/ai.go:114.2,115.25 2 1
